anime_id,name,genre,episodes
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",1
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",64
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51
9253,Steins;Gate,"Sci-Fi, Thriller",24
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",10
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",148
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",110
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",1
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",24
28851,Koe no Katachi,"Drama, School, Shounen",1
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",25
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",25
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",1
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",22
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",10
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",1
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",25
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",75
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",4
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",12
164,Mononoke Hime,"Action, Adventure, Fantasy",1
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",26
